year,location,gold_playername,gold_country,silver_playername,silver_country,bronze_playername,bronze_country
1996,Atlanta,Poul-Erik Høyer Larsen,Denmark,Dong Jiong,China,Rashid Sidek,Malaysia
2000,Sydney,Ji Xinpeng,China,Hendrawan,Indonesia,Xia Xuanze,China
2004,Athens,Taufik Hidayat,Indonesia,Shon Seung-mo,South Korea,Sony Dwi Kuncoro,Indonesia
2008,Beijing,Lin Dan,China,Lee Chong Wei,Malaysia,Chen Jin,China
2012,London,Lin Dan,China,Lee Chong Wei,Malaysia,Chen Long,China
2016,Rio de Janeiro,Chen Long,China,Lee Chong Wei,Malaysia,Viktor Axelsen,Denmark
2020,Tokyo,Viktor Axelsen,Denmark,Chen Long,China,Anthony Sinisuka Ginting,Indonesia
2024,Paris,Viktor Axelsen,Denmark,Kunlavut Vitidsarn,Thailand,Lee Zii Jia,Malaysia
