year,location,gold_playernames,gold_country,silver_playernames,silver_country,bronze_playernames,bronze_country
1996,Atlanta,"Kim Dong-moon, Gil Young-ah",South Korea,"Park Joo-bong, Ra Kyung-min",South Korea,"Liu Jianjun, Sun Man",China
2000,Sydney,"Zhang Jun, Gao Ling",China,"Tri Kusharjanto, Minarti Timur",Indonesia,"Simon Archer, Joanne Goode",Great Britain
2004,Athens,"Zhang Jun, Gao Ling",China,"Nathan Robertson, Gail Emms",Great Britain,"Jens Eriksen, Mette Schjoldager",Denmark
2008,Beijing,"Lee Yong-dae, Lee Hyo-jung",South Korea,"Nova Widianto, Liliyana Natsir",Indonesia,"He Hanbin, Yu Yang",China
2012,London,"Zhang Nan, Zhao Yunlei",China,"Xu Chen, Ma Jin",China,"Joachim Fischer Nielsen, Christinna Pedersen",Denmark
2016,Rio de Janeiro,"Tontowi Ahmad, Liliyana Natsir",Indonesia,"Chan Peng Soon, Goh Liu Ying",Malaysia,"Zhang Nan, Zhao Yunlei",China
2020,Tokyo,"Wang Yilyu, Huang Dongping",China,"Zheng Siwei, Huang Yaqiong",China,"Yuta Watanabe, Arisa Higashino",Japan
2024,Paris,"Zheng Siwei, Huang Yaqiong",China,"Kim Won-ho, Jeong Na-eun",South Korea,"Yuta Watanabe, Arisa Higashino",Japan
