year,location,gold_playernames,gold_country,silver_playernames,silver_country,bronze_playernames,bronze_country
1996,Atlanta,"Rexy Mainaky, Ricky Subagja",Indonesia,"Cheah Soon Kit, Yap Kim Hock",Malaysia,"Antonius Ariantho, Denny Kantono",Indonesia
2000,Sydney,"Tony Gunawan, Candra Wijaya",Indonesia,"Lee Dong-soo, Yoo Yong-sung",South Korea,"Ha Tae-kwon, Kim Dong-moon",South Korea
2004,Athens,"Ha Tae-kwon, Kim Dong-moon",South Korea,"Lee Dong-soo, Yoo Yong-sung",South Korea,"Eng Hian, Flandy Limpele",Indonesia
2008,Beijing,"Markis Kido, Hendra Setiawan",Indonesia,"Cai Yun, Fu Haifeng",China,"Hwang Ji-man, Lee Jae-jin",South Korea
2012,London,"Cai Yun, Fu Haifeng",China,"Mathias Boe, Carsten Mogensen",Denmark,"Jung Jae-sung, Lee Yong-dae",South Korea
2016,Rio de Janeiro,"Zhang Nan, Fu Haifeng",China,"Goh V Shem, Tan Wee Kiong",Malaysia,"Chris Langridge, Marcus Ellis",Great Britain
2020,Tokyo,"Lee Yang, Wang Chi-lin",Chinese Taipei,"Li Junhui, Liu Yuchen",China,"Aaron Chia, Soh Wooi Yik",Malaysia
2024,Paris,"Lee Yang, Wang Chi-lin",Chinese Taipei,"Liang Weikeng, Wang Chang",China,"Aaron Chia, Soh Wooi Yik",Malaysia
